Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3260.419922,3591.637695,2973.738037,3020.302490,3020.302490,146531588809
2019-02-01,3023.147705,3713.912354,2990.340332,3389.312256,3389.312256,175456020434
2019-03-01,3388.581787,3828.884521,3293.708496,3657.865967,3657.865967,263743349657
2019-04-01,3657.873779,5035.355469,3650.339111,4771.259277,4771.259277,396552990588
2019-05-01,4770.998535,8089.799805,4767.233887,7660.288086,7660.288086,647146145789
2019-06-01,7659.696777,12135.598633,6696.885254,9520.881836,9520.881836,597573055784
2019-07-01,9503.080078,11672.978516,8166.900391,9109.954102,9109.954102,602532169298
2019-08-01,9102.560547,10960.326172,8503.275391,8746.569336,8746.569336,479220176064
2019-09-01,8746.504883,9879.585938,7184.267090,7609.142578,7609.142578,541041269784
2019-10-01,7614.512695,9044.483398,6706.743164,8245.560547,8245.560547,537692320568
2019-11-01,8240.547852,8541.590820,6009.605469,6870.143555,6870.143555,612503952949
2019-12-01,6871.945801,6972.960449,5883.722656,6516.822754,6516.822754,347296974785
