Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,183.803696,193.547241,133.802338,152.539688,152.539688,252844958881
2019-12-01,152.491928,153.155396,119.780060,129.610855,129.610855,247117483809
2020-01-01,129.630661,186.260483,126.490021,180.160172,180.160172,327976431853
2020-02-01,180.113770,287.123688,179.745178,219.848511,219.848511,578092481236
2020-03-01,219.752670,249.978485,95.184303,133.593567,133.593567,498921414448
2020-04-01,133.612320,227.529694,129.730942,207.602051,207.602051,532158870552
2020-05-01,207.901733,244.045258,180.718338,230.975708,230.975708,505593287677
2020-06-01,230.860260,252.222000,219.472672,226.315002,226.315002,252220724140
2020-07-01,226.134583,348.611359,224.544495,345.554657,345.554657,251431946980
2020-08-01,345.798615,444.577759,343.587433,435.079742,435.079742,360036092499
2020-09-01,434.874451,487.211884,316.774353,360.022369,360.022369,503460977506
2020-10-01,360.004639,420.141663,335.533600,409.766693,409.766693,284448837218
